订票记录查询

订票时间：,2010-11-01至2010-11-29
订票类型：,ALL,订票状态：,全部
订票性质：,ALL,订票ID：,ALL
PNR：,-,票号：,-,银行订单号：,-
订单号,订单编号,人数,票号,订票时间,航班号,起飞地,到达地,起飞时间,票面价格,代理费,机建,燃油,支付金额,订票状态,代理商,订票人,银行订单号,支付银行,订单类型,旅客类型 
	201011241448091910,	FY27T,	10,	324-2315655436，324-2315655437,	2010-11-24 14:48,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655430，324-2315655431,	2010-11-24 14:48,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655432，324-2315655433,	2010-11-24 14:48,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655432，324-2315655433,	2010-11-24 14:48,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655440，324-2315655441,	2010-11-24 14:48,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655442，324-2315655443,	2010-11-24 14:48,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655428，324-2315655429,	2010-11-24 14:48,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655440，324-2315655441,	2010-11-24 14:48,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655446，324-2315655447,	2010-11-24 14:48,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655440，324-2315655441,	2010-11-24 14:48,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655446，324-2315655447,	2010-11-24 14:48,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655430，324-2315655431,	2010-11-24 14:48,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655438，324-2315655439,	2010-11-24 14:48,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655428，324-2315655429,	2010-11-24 14:48,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655438，324-2315655439,	2010-11-24 14:48,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655444，324-2315655445,	2010-11-24 14:48,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655436，324-2315655437,	2010-11-24 14:48,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655436，324-2315655437,	2010-11-24 14:48,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655438，324-2315655439,	2010-11-24 14:48,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655446，324-2315655447,	2010-11-24 14:48,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655442，324-2315655443,	2010-11-24 14:48,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655432，324-2315655433,	2010-11-24 14:48,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655428，324-2315655429,	2010-11-24 14:48,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655442，324-2315655443,	2010-11-24 14:48,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655385，324-2315655386,	2010-11-24 14:41,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655399，324-2315655400,	2010-11-24 14:41,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655405，324-2315655406,	2010-11-24 14:41,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655391，324-2315655392,	2010-11-24 14:41,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655407，324-2315655408,	2010-11-24 14:41,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655393，324-2315655394,	2010-11-24 14:41,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655399，324-2315655400,	2010-11-24 14:41,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655401，324-2315655402,	2010-11-24 14:41,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655387，324-2315655388,	2010-11-24 14:41,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655405，324-2315655406,	2010-11-24 14:41,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655411，324-2315655412,	2010-11-24 14:41,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655403，324-2315655404,	2010-11-24 14:41,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655383，324-2315655384,	2010-11-24 14:41,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655393，324-2315655394,	2010-11-24 14:41,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655385，324-2315655386,	2010-11-24 14:41,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655409，324-2315655410,	2010-11-24 14:41,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655383，324-2315655384,	2010-11-24 14:41,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655395，324-2315655396,	2010-11-24 14:41,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655407，324-2315655408,	2010-11-24 14:41,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655395，324-2315655396,	2010-11-24 14:41,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655401，324-2315655402,	2010-11-24 14:41,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655391，324-2315655392,	2010-11-24 14:41,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655405，324-2315655406,	2010-11-24 14:41,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
	201011241441231858,	KE4XM,	15,	324-2315655409，324-2315655410,	2010-11-24 14:41,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608939,	汇付天下支付,	团队,	成人
