海南航空股份有限公司电子客票出票报表
单位名称:,珠海泰申发展有限公司
第一部分:,销售明细
销售日期:,2010-11-01至2010-11-29

交易编号,起始票号,终止票号,PNR,人数,旅客类型,航段数,航段,航班号,舱位,航班日期,币种,票面金额,机场税,燃油税,其它税,票款总额,代理费,基础代理费,附加代理费,银行支付金额,E付卡支付金额,支付银行,银行订单号,E付卡支付订单号,出票时间,销售人ID,出票人ID,出票类型,原起始票号,原终止票号
'201011031723513716,880-2120509311,880-2120509311,HFBNX,1,成人,1,SZXTAO,HU7721,Q,20101106,人民币,1100.0,50.0,70.0,0.0,1099.0,121.0,33.0,88.0,1099.0,0.0,BILL99YS-HUB2C,'2010110301398586,-,2010-11-03 17:26,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031738544169,880-2120510019,880-2120510019,WLD7V,1,成人,1,SZXCTU,HU7751,X,20101121,人民币,710.0,50.0,70.0,0.0,752.0,78.0,21.0,57.0,752.0,0.0,BILL99YS-HUB2C,'2010110301398868,-,2010-11-03 17:41,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031749524439,880-2120510623,880-2120510623,XP78Y,1,成人,1,CKGSZX,HU7058,Q,20101104,人民币,770.0,50.0,70.0,0.0,821.0,69.0,23.0,46.0,821.0,0.0,BILL99YS-HUB2C,'2010110301399023,-,2010-11-03 17:52,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031806264821,880-2120511199,880-2120511199,YEZEE,1,成人,1,SZXXIY,HU7872,E,20101106,人民币,650.0,50.0,70.0,0.0,698.0,72.0,20.0,52.0,698.0,0.0,BILL99YS-HUB2C,'2010110301399255,-,2010-11-03 18:08,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031807434851,880-2120511213,880-2120511213,H2M6S,1,成人,1,SZXPEK,HU7704,Y,20101105,人民币,1750.0,50.0,70.0,0.0,1677.0,193.0,53.0,140.0,1677.0,0.0,BILL99YS-HUB2C,'2010110301399266,-,2010-11-03 18:09,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031845305549,880-2120512255,880-2120512256,Y1SDS,2,成人,1,SZXDLC,HU7717,X,20101104,人民币,2040.0,100.0,140.0,0.0,2054.0,226.0,62.0,164.0,2054.0,0.0,BILL99YS-HUB2C,'2010110301399734,-,2010-11-03 18:48,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031919256066,880-2120512860,880-2120512860,Z9FDZ,1,成人,1,SZXPEK,HU7704,M,20101104,人民币,1230.0,50.0,70.0,0.0,1215.0,135.0,37.0,98.0,1215.0,0.0,BILL99YS-HUB2C,'2010110301400034,-,2010-11-03 19:21,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011040912121935,880-2120519088,880-2120519088,T0MY1,1,成人,1,SZXHRB,HU7717,E,20101107,人民币,980.0,50.0,70.0,0.0,993.0,107.0,29.0,78.0,993.0,0.0,BILL99YS-HUB2C,'2010110401402607,-,2010-11-04 09:29,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011041032384533,880-2120522023,880-2120522023,TV5QE,1,成人,1,SZXCKG,HU7057,X,20101104,人民币,640.0,50.0,70.0,0.0,690.0,70.0,19.0,51.0,690.0,0.0,BILL99YS-HUB2C,'2010110401404112,-,2010-11-04 10:34,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011041120206425,880-2120524815,880-2120524815,E38M1,1,成人,1,SZXPEK,HU7702,K,20101107,人民币,1400.0,50.0,70.0,0.0,1366.0,154.0,42.0,112.0,1366.0,0.0,BILL99YS-HUB2C,'2010110401405287,-,2010-11-04 11:24,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011041124316592,880-2120524878,880-2120524878,XMM5R,1,成人,1,SZXCTU,HU7751,E,20101105,人民币,560.0,50.0,70.0,0.0,618.0,62.0,17.0,45.0,618.0,0.0,BILL99YS-HUB2C,'2010110401405327,-,2010-11-04 11:26,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011041133096890,880-2120525342,880-2120525342,TSQXK,1,成人,1,SZXSHE,HU7729,X,20101105,人民币,1140.0,50.0,70.0,0.0,1135.0,125.0,34.0,91.0,1135.0,0.0,BILL99YS-HUB2C,'2010110401405512,-,2010-11-04 11:34,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011041139287145,880-2120525694,880-2120525694,C2X9N,1,成人,1,SZXDLC,HU7717,X,20101105,人民币,1020.0,50.0,70.0,0.0,1027.0,113.0,31.0,82.0,1027.0,0.0,BILL99YS-HUB2C,'2010110401405677,-,2010-11-04 11:41,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011041140587200,880-2120525771,880-2120525772,F6T6V,2,成人,1,SZXXIY,HU7874,E,20101108,人民币,1300.0,100.0,140.0,0.0,1396.0,144.0,40.0,104.0,1396.0,0.0,BILL99YS-HUB2C,'2010110401405703,-,2010-11-04 11:43,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011041408102656,880-2120531975,880-2120531975,Y6NRK,1,成人,1,SZXPEK,HU7702,Q,20101104,人民币,1050.0,50.0,70.0,0.0,1054.0,116.0,32.0,84.0,1054.0,0.0,BILL99YS-HUB2C,'2010110401408247,-,2010-11-04 14:10,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011041431513402,880-2120532961,880-2120532962,T3GC4,2,成人,1,SZXTYN,HU7326,E,20101114,人民币,1240.0,100.0,140.0,0.0,1342.0,138.0,38.0,100.0,1342.0,0.0,BILL99YS-HUB2C,'2010110401408633,-,2010-11-04 14:33,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011041506424515,880-2120534642,880-2120534645,Y3F5Z,4,成人,1,SZXNGB,HU7313,Y,20101104,人民币,4640.0,200.0,280.0,0.0,4608.0,512.0,140.0,372.0,4608.0,0.0,BILL99YS-HUB2C,'2010110401409280,-,2010-11-04 15:08,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011041519124914,880-2120535199,880-2120535199,WEK54,1,成人,1,SZXURC,HU7744,E,20101117,人民币,1140.0,50.0,70.0,0.0,1135.0,125.0,34.0,91.0,1135.0,0.0,BILL99YS-HUB2C,'2010110401409495,-,2010-11-04 15:20,B@TAISHEN888,B@TAISHEN888,购票,-,-
